character,pinyin,pinyin_plain,pinyin_initial,definition_en,lookup_category,frequency_tier,learning_band,frequency_rank,token,frequency_per_million,coverage_rate_pct,rank_3500,rank_7000,in_3500,in_7000,in_corpus,source
奥,ào,ao,A,(bound form) Austria (abbr. for 奧地利|奥地利[Ao4 di4 li4]); (bound form) Olympics (abbr. for 奧林匹克|奥林匹克[Ao4 lin2 pi3 ke4]),General Reference,Top 2500,General 3500,1324.0,180716.0,95.1977257649129,92.74724376940208,738.0,1195.0,True,True,True,"3500, 7000, corpus"
熬,áo,ao,A,to simmer; to boil slowly,Actions,Top 2500,General 3500,2379.0,45832.0,24.143419327881805,98.1501736380265,1945.0,3371.0,True,True,True,"3500, 7000, corpus"
澳,ào,ao,A,Macao (abbr. for 澳門|澳门[Ao4 men2]); Australia (abbr. for 澳大利亞|澳大利亚[Ao4 da4 li4 ya4]),General Reference,Top 3500+,General 3500,2899.0,23261.0,12.253449052754814,99.06660667475803,1886.0,3241.0,True,True,True,"3500, 7000, corpus"
凹,āo,ao,A,concave; depressed; sunken; indented; female (connector etc),General Reference,Top 3500+,General 3500,2995.0,20644.0,10.874863601954791,99.17700913921576,294.0,424.0,True,True,True,"3500, 7000, corpus"
懊,ào,ao,A,to regret,Actions,Top 3500+,General 3500,2998.0,20550.0,10.825346203263464,99.1802633278372,1157.0,1943.0,True,True,True,"3500, 7000, corpus"
拗,ǎo,ao,A,(dialect) to twist; to bend (in order to break sth or form it into a shape),Actions,Top 3500+,General 7000,3567.0,9593.0,5.053408570701042,99.61183832678915,1237.0,2063.0,True,True,True,"3500, 7000, corpus"
袄,ǎo,ao,A,coat; jacket; short and lined coat or robe,General Reference,Top 3500+,General 7000,3612.0,9096.0,4.79159849464158,99.63393346418798,2831.0,5337.0,True,True,True,"3500, 7000, corpus"
把,bǎ,ba,B,"to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar; classifier: handful, bundle, bunch; classifier for things with handles; (used to put the object before the verb: 把[ba3] + {noun} + {verb})",Question & Function,Top 100,Zero Beginner,83.0,3798288.0,2000.8653323455562,44.15887565710244,1202.0,2019.0,True,True,True,"3500, 7000, corpus"
吧,ba,ba,B,"bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 貼吧|贴吧[tie1 ba1]",Question & Function,Top 300,HSK1 Core,150.0,2403165.0,1265.9412704898123,54.784309270163746,487.0,680.0,True,True,True,"3500, 7000, corpus"
八,bā,ba,B,eight,Numbers & Measures,Top 600,HSK3 Expansion,473.0,740031.0,389.8341496908644,76.12995996160099,239.0,358.0,True,True,True,"3500, 7000, corpus"
爸,bà,ba,B,father; dad; pa; papa,People & Pronouns,Top 1200,General 3500,613.0,541485.0,285.2439215997137,80.82092382545757,1957.0,3395.0,True,True,True,"3500, 7000, corpus"
巴,bā,ba,B,"Ba, a state during the Zhou dynasty (in present-day Chongqing and the eastern part of Sichuan); the east of Sichuan and Chongqing Municipality; surname Ba; (bound form) abbr. for 巴勒斯坦[Ba1 le4 si1 tan3] (Palestine), 巴基斯坦[Ba1 ji1 si1 tan3] (Pakistan) or 巴西[Ba1 xi1] (Brazil)",Time,Top 1200,General 3500,625.0,523594.0,275.81928564241025,81.15847977076774,939.0,1569.0,True,True,True,"3500, 7000, corpus"
罢,bà,ba,B,to stop; to cease; to dismiss; to suspend; to quit; to finish,Actions,Top 1200,General 3500,1101.0,242362.0,127.67165725135473,90.28301827256269,2461.0,4491.0,True,True,True,"3500, 7000, corpus"
拔,bá,ba,B,to pull up; to pull out; to draw out by suction; to select; to pick; to stand out (above level); to surpass; to seize,Actions,Top 2500,General 3500,1340.0,177503.0,93.50517893517639,92.89806523196631,1235.0,2061.0,True,True,True,"3500, 7000, corpus"
霸,bà,ba,B,hegemon; tyrant; lord; feudal chief; to rule by force; to usurp; (in modern advertising) master,Actions,Top 2500,General 3500,1553.0,133104.0,70.11663654691874,94.62285062751138,3346.0,6489.0,True,True,True,"3500, 7000, corpus"
疤,bā,ba,B,scar; scab,General Reference,Top 3500+,General 3500,2682.0,31337.0,16.507731093511786,98.7577466414484,2079.0,3698.0,True,True,True,"3500, 7000, corpus"
跋,bá,ba,B,postscript; to trek across mountains,Actions,Top 3500+,General 3500,2799.0,26559.0,13.990772253648387,98.93491678595905,3027.0,5710.0,True,True,True,"3500, 7000, corpus"
扒,bā,ba,B,to peel; to skin; to tear; to pull down; to cling to (sth on which one is climbing); to dig,Actions,Top 3500+,General 3500,2839.0,25334.0,13.345465728149714,98.98954306324323,1180.0,1992.0,True,True,True,"3500, 7000, corpus"
叭,bā,ba,B,denote a sound or sharp noise (gunfire etc),Question & Function,Top 3500+,General 3500,2894.0,23566.0,12.414117208083056,99.06044576215531,453.0,641.0,True,True,True,"3500, 7000, corpus"
芭,bā,ba,B,an unidentified fragrant plant mentioned in the Songs of Chu 楚辭|楚辞[Chu3 ci2]; used in 芭蕉[ba1 jiao1]; used in transliteration,People & Pronouns,Top 3500+,General 3500,3265.0,14409.0,7.590385082375827,99.42527894599344,2632.0,4829.0,True,True,True,"3500, 7000, corpus"
靶,bǎ,ba,B,target; mark,General Reference,Top 3500+,General 3500,3426.0,11461.0,6.037435174481877,99.53400018940948,3357.0,6506.0,True,True,True,"3500, 7000, corpus"
坝,bà,ba,B,(used in place names) plain; flatland; (dialect) sandbar; shoal,Places & Movement,Top 3500+,General 7000,3512.0,10236.0,5.392128648983203,99.58312176497981,645.0,1023.0,True,True,True,"3500, 7000, corpus"
耙,bà,ba,B,a hoe; to harrow,Actions,Top 3500+,General 7000,4268.0,3977.0,2.0950073893128365,99.85183314410862,2494.0,4562.0,True,True,True,"3500, 7000, corpus"
笆,bā,ba,B,an article made of bamboo strips; fence,General Reference,Top 3500+,General 7000,4376.0,3384.0,1.7826263528877646,99.87271315615037,2306.0,4167.0,True,True,True,"3500, 7000, corpus"
捌,bā,ba,B,eight (banker's anti-fraud numeral); split,General Reference,Top 3500+,General 7000,5831.0,415.0,0.2186140474138364,99.97916671341886,1284.0,2125.0,True,True,True,"3500, 7000, corpus"
白,bái,bai,B,surname Bai,General Reference,Top 300,HSK2 Expansion,156.0,2322211.0,1223.296254599837,55.52962145012793,2111.0,3787.0,True,True,True,"3500, 7000, corpus"
百,bǎi,bai,B,surname Bai,Numbers & Measures,Top 600,HSK3 Expansion,369.0,962451.0,507.00074348793794,71.45591566609647,2112.0,3788.0,True,True,True,"3500, 7000, corpus"
败,bài,bai,B,to defeat; to damage; to lose (to an opponent); to fail; to wither,Actions,Top 1200,General 3500,852.0,364055.0,191.77719766564869,86.41312267746929,2968.0,5618.0,True,True,True,"3500, 7000, corpus"
摆,bǎi,bai,B,to arrange; to exhibit; to move to and fro; a pendulum,Actions,Top 1200,General 3500,877.0,349256.0,183.98136805678757,86.88202141568483,1349.0,2226.0,True,True,True,"3500, 7000, corpus"
拜,bài,bai,B,"to bow to; to pay one's respects; (bound form) to extend greetings (on a specific occasion); to make a courtesy call; (bound form) (of a monarch) to appoint sb to (a position) by performing a ceremony; to acknowledge sb as one's (master, godfather etc); (used before some verbs to indicate politeness)",People & Pronouns,Top 1200,General 3500,1096.0,242993.0,128.0040559595912,90.21910168843469,1241.0,2068.0,True,True,True,"3500, 7000, corpus"
柏,bǎi,bai,B,surname Bai; Taiwan pr. [Bo2],General Reference,Top 2500,General 3500,2227.0,56086.0,29.54503003193356,97.74673015808617,1544.0,2540.0,True,True,True,"3500, 7000, corpus"
掰,bāi,bai,B,to break off or break open sth with one's hands; (fig.) to break off (a relationship),Actions,Top 3500+,General 3500,3470.0,10932.0,5.758768111633878,99.55989220504823,1318.0,2169.0,True,True,True,"3500, 7000, corpus"
半,bàn,ban,B,half; semi-; incomplete; (after a number) and a half,Numbers & Measures,Top 600,HSK3 Expansion,324.0,1095098.0,576.8766411922829,69.01340402268599,388.0,560.0,True,True,True,"3500, 7000, corpus"
办,bàn,ban,B,"to take care of (a matter); to deal with (a task, procedure etc); to organize (an event); to establish; to set up; to manage; to run (an enterprise); (law) to handle; to investigate; to prosecute (a case or suspect); (bound form) office (as in 招辦|招办[zhao1 ban4], admissions office) (abbr. for 辦公室|办公室[ban4 gong1 shi4])",Places & Movement,Top 600,HSK3 Expansion,372.0,956075.0,503.641988870322,71.60717951920773,344.0,497.0,True,True,True,"3500, 7000, corpus"
般,bān,ban,B,sort; kind; class; way; manner,General Reference,Top 600,HSK3 Expansion,378.0,940949.0,495.6739019277155,71.90634962973047,2607.0,4777.0,True,True,True,"3500, 7000, corpus"
板,bǎn,ban,B,board; plank; plate; shutter; table tennis bat; clappers (music); CL:塊|块[kuai4]; accented beat in Chinese music; hard; stiff; to stop smiling or look serious,Actions,Top 1200,General 3500,698.0,466756.0,245.87811642094607,83.06529728723777,1526.0,2507.0,True,True,True,"3500, 7000, corpus"
班,bān,ban,B,surname Ban,General Reference,Top 1200,General 3500,707.0,459772.0,242.19907905434792,83.28526421319754,2022.0,3554.0,True,True,True,"3500, 7000, corpus"
伴,bàn,ban,B,partner; companion; comrade; associate; to accompany,Business & Work,Top 2500,General 3500,1283.0,189544.0,99.84814699520048,92.3485364179342,135.0,171.0,True,True,True,"3500, 7000, corpus"
版,bǎn,ban,B,a register; block of printing; edition; version; page,General Reference,Top 2500,General 3500,1529.0,138140.0,72.76950484276472,94.45166055174205,1961.0,3403.0,True,True,True,"3500, 7000, corpus"
搬,bān,ban,B,to move (i.e. relocate oneself); to move (sth relatively heavy or bulky); to shift; to copy indiscriminately,Actions,Top 2500,General 3500,1717.0,106566.0,56.13692669085033,95.64681970345347,1345.0,2218.0,True,True,True,"3500, 7000, corpus"
扮,bàn,ban,B,to disguise oneself as; to dress up; to play (a role); to put on (an expression),Actions,Top 2500,General 3500,1744.0,102939.0,54.22629259453712,95.79608921699338,1191.0,2005.0,True,True,True,"3500, 7000, corpus"
斑,bān,ban,B,spot; colored patch; stripe; spotted; striped; variegated,General Reference,Top 2500,General 3500,2253.0,53974.0,28.43246890389013,97.8218388332363,1404.0,2313.0,True,True,True,"3500, 7000, corpus"
扳,bān,ban,B,to pull; to turn (sth) around; to turn around (a situation); to recoup,Actions,Top 3500+,General 3500,2916.0,22636.0,11.924211029541206,99.08716050410547,1194.0,2008.0,True,True,True,"3500, 7000, corpus"
瓣,bàn,ban,B,"petal; segment; clove (of garlic); piece; section; fragment; valve; lamella; classifier for pieces, segments etc",Numbers & Measures,Top 3500+,General 3500,2937.0,22056.0,11.618678143998977,99.11188722785433,2039.0,3624.0,True,True,True,"3500, 7000, corpus"
绊,bàn,ban,B,to trip; to stumble; to hinder,Actions,Top 3500+,General 3500,3153.0,16942.0,8.924720942855942,99.33246811687978,2407.0,4377.0,True,True,True,"3500, 7000, corpus"
颁,bān,ban,B,to promulgate; to send out; to issue; to grant or confer,Actions,Top 3500+,General 3500,3236.0,15165.0,7.988631395255009,99.40272150573199,3376.0,6553.0,True,True,True,"3500, 7000, corpus"
拌,bàn,ban,B,to mix; to mix in; to toss (a salad),Actions,Top 3500+,General 3500,3335.0,12927.0,6.8096958817317175,99.47542579510709,1230.0,2055.0,True,True,True,"3500, 7000, corpus"
帮,bāng,bang,B,"to help; to assist; to support; for sb (i.e. as a help); hired (as worker); side (of pail, boat etc); outer layer; upper (of a shoe); group; gang; clique; party; secret society",Business & Work,Top 600,HSK3 Expansion,398.0,901633.0,474.9629865346495,72.87757387882623,958.0,1596.0,True,True,True,"3500, 7000, corpus"
膀,bǎng,bang,B,upper arm; wing,General Reference,Top 2500,General 3500,1399.0,163712.0,86.24034441015418,93.42618340761939,2579.0,4722.0,True,True,True,"3500, 7000, corpus"
邦,bāng,bang,B,(bound form) country; nation; state,Places & Movement,Top 2500,General 3500,1660.0,114842.0,60.496564899035654,95.31558618175066,3160.0,5977.0,True,True,True,"3500, 7000, corpus"
棒,bàng,bang,B,stick; club; cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race,Numbers & Measures,Top 2500,General 3500,1956.0,77284.0,40.71173021766489,96.79643322595126,1604.0,2646.0,True,True,True,"3500, 7000, corpus"
绑,bǎng,bang,B,to tie; bind or fasten together; to kidnap,Actions,Top 2500,General 3500,2203.0,58012.0,30.55960992426862,97.67448195555984,2411.0,4383.0,True,True,True,"3500, 7000, corpus"
榜,bǎng,bang,B,notice or announcement; list of names; public roll of successful examinees,Question & Function,Top 2500,General 3500,2454.0,41985.0,22.1168934473974,98.323379335313,1632.0,2706.0,True,True,True,"3500, 7000, corpus"
傍,bàng,bang,B,"near; approaching; to depend on; (slang) to have an intimate relationship with sb; Taiwan pr. [pang2], [bang1], [bang4]",Actions,Top 3500+,General 3500,2593.0,34850.0,18.35831217439084,98.6031480022476,210.0,311.0,True,True,True,"3500, 7000, corpus"
磅,bàng,bang,B,"scale (instrument for weighing); to weigh; (loanword) pound (unit of weight, about 454 grams); (printing) point (unit used to measure the size of type); (Tw) (printing) pound; ream weight (used to describe paper thickness)",Actions,Top 3500+,General 3500,3483.0,10605.0,5.586510777888518,99.56725143869926,2214.0,3998.0,True,True,True,"3500, 7000, corpus"
梆,bāng,bang,B,watchman's rattle,General Reference,Top 3500+,General 7000,4039.0,5442.0,2.866741315725536,99.79544510099262,1590.0,2625.0,True,True,True,"3500, 7000, corpus"
谤,bàng,bang,B,to slander; to defame; to speak ill of,Actions,Top 3500+,General 7000,4169.0,4578.0,2.411602672435043,99.82958297510942,2944.0,5568.0,True,True,True,"3500, 7000, corpus"
蚌,bàng,bang,B,"abbr. for Bengbu prefecture-level City 蚌埠市[Beng4 bu4 Shi4], Anhui",Places & Movement,Top 3500+,General 7000,4273.0,3936.0,2.073409374990024,99.85287480053597,2764.0,5172.0,True,True,True,"3500, 7000, corpus"
保,bǎo,bao,B,Bulgaria (abbr. for 保加利亞|保加利亚[Bao3 jia1 li4 ya4]),General Reference,Top 600,HSK3 Expansion,418.0,859752.0,452.90087829431485,73.80605502544014,179.0,248.0,True,True,True,"3500, 7000, corpus"
报,bào,bao,B,to report; to inform; to announce; to respond; to reply; to sign up for; to register for (abbr. for 報名|报名[bao4 ming2]); to reward; to recompense; to take revenge; to retaliate; newspaper; periodical; journal; bulletin; telegram,Actions,Top 600,HSK3 Expansion,426.0,856017.0,450.93335186759026,74.1672752829068,1216.0,2035.0,True,True,True,"3500, 7000, corpus"
包,bāo,bao,B,surname Bao,General Reference,Top 600,HSK3 Expansion,516.0,667583.0,351.6699316016172,77.72547939769099,369.0,531.0,True,True,True,"3500, 7000, corpus"
宝,bǎo,bao,B,jewel; gem; treasure; precious,General Reference,Top 600,HSK3 Expansion,596.0,564720.0,297.48367435070287,80.32575610723624,825.0,1371.0,True,True,True,"3500, 7000, corpus"
抱,bào,bao,B,to hold; to carry (in one's arms); to hug; to embrace; to surround; to cherish; (coll.) (of clothes) to fit nicely,Actions,Top 1200,General 3500,631.0,519992.0,273.9218210670256,81.32348054044724,1219.0,2039.0,True,True,True,"3500, 7000, corpus"
暴,bào,bao,B,surname Bao,General Reference,Top 1200,General 3500,989.0,286045.0,150.68302456021885,88.74087743334411,1477.0,2430.0,True,True,True,"3500, 7000, corpus"
爆,bào,bao,B,to explode; to burst; to stir-fry briefly; to quick-boil,Actions,Top 2500,General 3500,1248.0,199957.0,105.33351585235778,91.99074861172426,1950.0,3385.0,True,True,True,"3500, 7000, corpus"
薄,báo,bao,B,surname Bo,General Reference,Top 2500,General 3500,1495.0,143289.0,75.48189937320771,94.20063942132998,2738.0,5114.0,True,True,True,"3500, 7000, corpus"
堡,bǎo,bao,B,"(bound form) fortress; stronghold; (often used to transliterate -berg, -burg etc in place names); (bound form) burger (abbr. for 漢堡|汉堡[han4 bao3])",Places & Movement,Top 2500,General 3500,1761.0,100994.0,53.20170386629636,95.88746983613429,676.0,1102.0,True,True,True,"3500, 7000, corpus"
饱,bǎo,bao,B,to eat till full; satisfied,Actions,Top 2500,General 3500,1915.0,82039.0,43.21657309827403,96.6234910771176,3403.0,6618.0,True,True,True,"3500, 7000, corpus"
豹,bào,bao,B,leopard; panther,General Reference,Top 2500,General 3500,2200.0,58129.0,30.621243282214202,97.6653084360276,2958.0,5602.0,True,True,True,"3500, 7000, corpus"
胞,bāo,bao,B,placenta; womb; born of the same parents,Places & Movement,Top 2500,General 3500,2359.0,46906.0,24.70918194697207,98.10147074786558,2542.0,4648.0,True,True,True,"3500, 7000, corpus"
褒,bāo,bao,B,to praise; to commend; to honor; (of clothes) large or loose,Actions,Top 3500+,General 7000,3606.0,9130.0,4.8095090431044,99.63105413281025,2852.0,5384.0,True,True,True,"3500, 7000, corpus"
苞,bāo,bao,B,bud; flower calyx; luxuriant; profuse,General Reference,Top 3500+,General 7000,3754.0,7827.0,4.123113612308669,99.69728439105306,2644.0,4861.0,True,True,True,"3500, 7000, corpus"
雹,báo,bao,B,hail,General Reference,Top 3500+,General 7000,4457.0,2984.0,1.571914018031055,99.88630915884461,3336.0,6469.0,True,True,True,"3500, 7000, corpus"
被,bèi,bei,B,"quilt; to cover (with); (literary) to suffer (a misfortune); used to indicate passive voice (placed before the doer of the action like ""by"" in English passive-voice sentences, or, if the doer is not mentioned, before the verb); (since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅遊|被旅游[bei4 lu : 3 you2] to ""go on a trip"")",Question & Function,Top 300,HSK1 Core,115.0,2998064.0,1579.3226637246166,49.8930685998343,2837.0,5350.0,True,True,True,"3500, 7000, corpus"
备,bèi,bei,B,(bound form) to prepare; to equip; (literary) fully; completely,Actions,Top 600,HSK3 Expansion,437.0,823555.0,433.832992332294,74.65399285704142,704.0,1150.0,True,True,True,"3500, 7000, corpus"
北,běi,bei,B,north; (classical) to be defeated,Places & Movement,Top 600,HSK3 Expansion,488.0,718033.0,378.2460248354197,76.70483915521503,374.0,539.0,True,True,True,"3500, 7000, corpus"
背,bèi,bei,B,"to carry on one's back; (fig.) to bear; to shoulder (a burden, blame etc)",Actions,Top 600,HSK3 Expansion,537.0,642470.0,338.4408844384758,78.44864513180279,2537.0,4638.0,True,True,True,"3500, 7000, corpus"
杯,bēi,bei,B,"cup; trophy cup; classifier for certain containers of liquids: glass, cup",Numbers & Measures,Top 1200,General 3500,957.0,301690.0,158.9245107573019,88.2467082808777,1523.0,2498.0,True,True,True,"3500, 7000, corpus"
辈,bèi,bei,B,lifetime; generation; group of people; class; classifier for generations; (literary) classifier for people,People & Pronouns,Top 1200,General 3500,992.0,281934.0,148.51742853872904,88.7856601785493,3076.0,5837.0,True,True,True,"3500, 7000, corpus"
悲,bēi,bei,B,sad; sadness; sorrow; grief,General Reference,Top 1200,General 3500,1114.0,238519.0,125.6472384942189,90.447451330534,1110.0,1865.0,True,True,True,"3500, 7000, corpus"
贝,bèi,bei,B,surname Bei,General Reference,Top 2500,General 3500,1208.0,211741.0,111.54110123723646,91.55686936803447,2961.0,5611.0,True,True,True,"3500, 7000, corpus"
倍,bèi,bei,B,"(two, three etc) -fold; times (multiplier); double; to increase or multiply",Time,Top 2500,General 3500,1597.0,124204.0,65.42828709635695,94.92048385494179,187.0,268.0,True,True,True,"3500, 7000, corpus"
卑,bēi,bei,B,low; base; vulgar; inferior; humble,General Reference,Top 2500,General 3500,1905.0,82925.0,43.68330091998164,96.58009002537015,391.0,563.0,True,True,True,"3500, 7000, corpus"
惫,bèi,bei,B,exhausted,General Reference,Top 2500,General 3500,2484.0,40277.0,21.21715177755925,98.38825334361252,1124.0,1887.0,True,True,True,"3500, 7000, corpus"
碑,bēi,bei,B,"a monument; an upright stone tablet; stele; CL:塊|块[kuai4],面[mian4]",Numbers & Measures,Top 3500+,General 3500,2604.0,34260.0,18.047511480477194,98.62312368962625,2203.0,3977.0,True,True,True,"3500, 7000, corpus"
狈,bèi,bei,B,a legendary wolf; distressed; wretched,General Reference,Top 3500+,General 3500,2613.0,33949.0,17.8836826401261,98.63927468473685,1981.0,3447.0,True,True,True,"3500, 7000, corpus"
焙,bèi,bei,B,to dry over a fire; to bake,Actions,Top 3500+,General 7000,5079.0,1206.0,0.6352976895929799,99.95028031746759,1928.0,3336.0,True,True,True,"3500, 7000, corpus"
本,běn,ben,B,"(bound form) root; stem; (bound form) origin; source; (bound form) one's own; this; (bound form) this; the current (year etc); (bound form) original; (bound form) inherent; originally; initially; capital; principal; classifier for books, periodicals, files etc",Numbers & Measures,Top 300,HSK1 Core,136.0,2579524.0,1358.8438121472984,52.934593321453534,1498.0,2467.0,True,True,True,"3500, 7000, corpus"
奔,bēn,ben,B,to hurry; to rush; to run quickly; to elope,Actions,Top 1200,General 3500,1040.0,264800.0,139.49156567514186,89.47710854381299,732.0,1187.0,True,True,True,"3500, 7000, corpus"
笨,bèn,ben,B,stupid; foolish; silly; slow-witted; clumsy,General Reference,Top 2500,General 3500,1763.0,100829.0,53.11478502816797,95.89810053681823,2314.0,4182.0,True,True,True,"3500, 7000, corpus"
崩,bēng,beng,B,to collapse; to fall into ruins; death of king or emperor; demise,Actions,Top 2500,General 3500,2160.0,61288.0,32.285343946745066,97.53968643033545,922.0,1526.0,True,True,True,"3500, 7000, corpus"
蹦,bèng,beng,B,to jump; to bounce; to hop,Actions,Top 2500,General 3500,2312.0,49581.0,26.118320686326317,97.98148677211724,3050.0,5777.0,True,True,True,"3500, 7000, corpus"
绷,bēng,beng,B,to draw tight; to stretch taut; to tack (with thread or pin); (bound form) embroidery hoop; (bound form) woven bed mat,Actions,Top 3500+,General 3500,2733.0,29020.0,15.287179893854294,98.83831987761258,2431.0,4418.0,True,True,True,"3500, 7000, corpus"
