character,pinyin,pinyin_plain,pinyin_initial,definition_en,example_words,lookup_category,frequency_tier,learning_band,frequency_rank,token,frequency_per_million,coverage_rate_pct,rank_3500,rank_7000,in_3500,in_7000,in_corpus,source
爱,ài,ai,A,to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen),爱好 (ài hào); 可爱 (kě ài); 热爱 (rè ài),Actions,Top 300,HSK2 Expansion,230.0,1516399.0,798.8099346609496,62.707051129021394,1953.0,3391.0,True,True,True,"3500, 7000, corpus"
带,dài,dai,D,band; belt; girdle; ribbon; tire; area; zone; region; CL:條|条[tiao2]; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise,一带 (yī dài); 不带 (bù dài); 丝带 (sī dài),Actions,Top 300,HSK2 Expansion,234.0,1491966.0,785.9390984670646,63.02348579666636,956.0,1593.0,True,True,True,"3500, 7000, corpus"
找,zhǎo,zhao,Z,to try to find; to look for; to call on sb; to find; to seek; to return; to give change,寻找 (xún zhǎo); 找事 (zhǎo shì); 找出 (zhǎo chū),Actions,Top 300,HSK2 Expansion,235.0,1476145.0,777.6048988426446,63.10124628655062,1198.0,2013.0,True,True,True,"3500, 7000, corpus"
吃,chī,chi,C,"to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer (shock, injury, defeat etc)",吃饭 (chī fàn); 好吃 (hǎo chī); 吃完 (chī wán),Actions,Top 300,HSK2 Expansion,240.0,1445563.0,761.4948872811749,63.48614186589329,466.0,657.0,True,True,True,"3500, 7000, corpus"
思,sī,si,S,to think; to consider,反思 (fǎn sī); 哀思 (āi sī); 哲思 (zhé sī),Actions,Top 300,HSK2 Expansion,243.0,1438567.0,757.809528544531,63.713803374185034,1074.0,1796.0,True,True,True,"3500, 7000, corpus"
使,shǐ,shi,S,to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger,主使 (zhǔ shǐ); 使出 (shǐ chū); 使劲 (shǐ jìn),Actions,Top 300,HSK2 Expansion,246.0,1415240.0,745.5213119565249,63.9392316477958,155.0,210.0,True,True,True,"3500, 7000, corpus"
受,shòu,shou,S,to receive; to accept; to suffer; subjected to; to bear; to stand; pleasant; (passive marker); (LGBT) bottom,享受 (xiǎng shòu); 免受 (miǎn shòu); 受业 (shòu yè),Actions,Top 300,HSK2 Expansion,248.0,1388441.0,731.4041123019624,64.08615224558291,440.0,626.0,True,True,True,"3500, 7000, corpus"
命,mìng,ming,M,"life; fate; order or command; to assign a name, title etc",丢命 (diū mìng); 丧命 (sàng mìng); 亡命 (wáng mìng),Actions,Top 300,HSK2 Expansion,250.0,1368062.0,720.6688456218501,64.23135322000525,517.0,726.0,True,True,True,"3500, 7000, corpus"
目,mù,mu,M,eye; (literary) to look; to regard; eye (of a net); mesh; mesh size; grit size (abbr. for 目數|目数[mu4 shu4]); item; section; list; catalogue; (taxonomy) order; name; title,举目 (jǔ mù); 书目 (shū mù); 亚目 (yà mù),Actions,Top 300,HSK2 Expansion,251.0,1365310.0,719.2191447580361,64.30327513448105,2134.0,3825.0,True,True,True,"3500, 7000, corpus"
该,gāi,gai,G,should; ought to; probably; must be; to deserve; to owe; to be sb's turn to do sth; that; the above-mentioned,不该 (bù gāi); 合该 (hé gāi); 应该 (yīng gāi),Actions,Top 300,HSK2 Expansion,255.0,1351318.0,711.8484272847484,64.58882838178835,2912.0,5510.0,True,True,True,"3500, 7000, corpus"
性,xìng,xing,X,"nature; character; property; quality; attribute; sexuality; sex; gender; suffix forming adjective from verb; suffix forming noun from adjective, corresponding to -ness or -ity; essence; CL:個|个[ge4]",两性 (liǎng xìng); 个性 (gè xìng); 中性 (zhōng xìng),Actions,Top 300,HSK2 Expansion,267.0,1304637.0,687.2577710261331,65.42429588866622,1077.0,1801.0,True,True,True,"3500, 7000, corpus"
表,biǎo,biao,B,exterior surface; family relationship via females; to show (one's opinion); a model; a table (listing information); a form; a meter (measuring sth),代表 (dài biǎo); 仪表 (yí biǎo); 体表 (tǐ biǎo),Actions,Top 300,HSK2 Expansion,268.0,1303318.0,686.5629471019431,65.49295218337642,2824.0,5324.0,True,True,True,"3500, 7000, corpus"
转,zhuǎn,zhuan,Z,see 轉文|转文[zhuai3 wen2],中转 (zhōng zhuǎn); 倒转 (dào zhuǎn); 偏转 (piān zhuǎn),Actions,Top 300,HSK2 Expansion,276.0,1276312.0,672.3367038140923,66.03617537810982,3065.0,5809.0,True,True,True,"3500, 7000, corpus"
算,suàn,suan,S,to calculate; to figure out; to include; to count in; to count; to be valid; to carry weight; to regard as; to consider (to be ...),上算 (shàng suàn); 不算 (bù suàn); 估算 (gū suàn),Actions,Top 300,HSK2 Expansion,278.0,1263186.0,665.4221785457695,66.16981130067737,2333.0,4227.0,True,True,True,"3500, 7000, corpus"
始,shǐ,shi,S,to begin; to start; then; only then,伊始 (yī shǐ); 倡始 (chàng shǐ); 创始 (chuàng shǐ),Actions,Top 300,HSK2 Expansion,284.0,1239671.0,653.0349271603807,66.56483129164138,760.0,1233.0,True,True,True,"3500, 7000, corpus"
云,yún,yun,Y,(classical) to say,上云 (shàng yún); 乌云 (wū yún); 云云 (yún yún),Actions,Top 300,HSK2 Expansion,292.0,1205872.0,635.2302616458257,67.08008279266916,70.0,77.0,True,True,True,"3500, 7000, corpus"
至,zhì,zhi,Z,to arrive; most; to; until,乃至 (nǎi zhì); 之至 (zhī zhì); 以至 (yǐ zhì),Actions,Top 300,HSK2 Expansion,295.0,1199059.0,631.641303802379,67.2699066869907,2594.0,4753.0,True,True,True,"3500, 7000, corpus"
失,shī,shi,S,to lose; to miss; to fail,不失 (bù shī); 丢失 (diū shī); 丧失 (sàng shī),Actions,Top 300,HSK2 Expansion,299.0,1182384.0,622.8572333430398,67.52022308999881,719.0,1170.0,True,True,True,"3500, 7000, corpus"
惊,jīng,jing,J,to startle; to be frightened; to be scared; alarm,受惊 (shòu jīng); 可惊 (kě jīng); 吃惊 (chī jīng),Actions,Top 600,HSK3 Expansion,304.0,1161953.0,612.0945740593962,67.82917715368785,1114.0,1873.0,True,True,True,"3500, 7000, corpus"
剑,jiàn,jian,J,"double-edged sword; CL:口[kou3],把[ba3]; classifier for blows of a sword",佩剑 (pèi jiàn); 击剑 (jī jiàn); 刀剑 (dāo jiàn),Actions,Top 600,HSK3 Expansion,309.0,1151704.0,606.6955972595301,68.13409633955482,331.0,474.0,True,True,True,"3500, 7000, corpus"
量,liàng,liang,L,to measure,丈量 (zhàng liáng); 产量 (chǎn liàng); 估量 (gū liáng),Actions,Top 600,HSK3 Expansion,311.0,1142437.0,601.8139192417373,68.2545116961307,3195.0,6099.0,True,True,True,"3500, 7000, corpus"
结,jié,jie,J,(of a plant) to produce (fruit or seeds); Taiwan pr. [jie2],了结 (liǎo jié); 交结 (jiāo jié); 具结 (jù jié),Actions,Top 600,HSK3 Expansion,313.0,1132776.0,596.7246895741107,68.37417939266444,2413.0,4385.0,True,True,True,"3500, 7000, corpus"
流,liú,liu,L,"to flow; to disseminate; to circulate or spread; to move or drift; to degenerate; to banish or send into exile; stream of water or sth resembling one; class, rate or grade",一流 (yì liú); 三流 (sān liú); 上流 (shàng liú),Actions,Top 600,HSK3 Expansion,315.0,1114438.0,587.0645825826048,68.49161243220894,1774.0,3005.0,True,True,True,"3500, 7000, corpus"
突,tū,tu,T,to dash; to move forward quickly; to bulge; to protrude; to break through; to rush out; sudden; Taiwan pr. [tu2],乳突 (rǔ tū); 冲突 (chōng tū); 唐突 (táng tū),Actions,Top 600,HSK3 Expansion,316.0,1106693.0,582.9846649989418,68.54991089870883,2280.0,4124.0,True,True,True,"3500, 7000, corpus"
指,zhǐ,zhi,Z,finger; to point at or to; to indicate or refer to; to depend on; to count on; (of hair) to stand on end,中指 (zhōng zhǐ); 二指 (èr zhǐ); 五指 (wǔ zhǐ),Actions,Top 600,HSK3 Expansion,321.0,1099010.0,578.9374078271815,68.84021038868069,1262.0,2093.0,True,True,True,"3500, 7000, corpus"
拉,lā,la,L,to pull; to play (a bowed instrument); to drag; to draw; to chat; (coll.) to empty one's bowels,乌拉 (wū lā); 划拉 (huá lā); 半拉 (bàn lǎ),Actions,Top 600,HSK3 Expansion,322.0,1096796.0,577.7711150537497,68.89798750018606,1229.0,2053.0,True,True,True,"3500, 7000, corpus"
杀,shā,sha,S,to kill; to slay; to murder; to attack; to weaken; to reduce; (dialect) to smart; (used after a verb) extremely,仇杀 (chóu shā); 他杀 (tā shā); 冲杀 (chōng shā),Actions,Top 600,HSK3 Expansion,323.0,1095880.0,577.2885838069277,68.95571635856676,1505.0,2475.0,True,True,True,"3500, 7000, corpus"
喜,xǐ,xi,X,to be fond of; to like; to enjoy; to be happy; to feel pleased; happiness; delight; glad,七喜 (qī xǐ); 双喜 (shuāng xǐ); 可喜 (kě xǐ),Actions,Top 600,HSK3 Expansion,335.0,1069981.0,563.645486905793,69.64122685023416,583.0,867.0,True,True,True,"3500, 7000, corpus"
影,yǐng,ying,Y,picture; image; film; movie; photograph; reflection; shadow; trace,人影 (rén yǐng); 从影 (cóng yǐng); 侧影 (cè yǐng),Actions,Top 600,HSK3 Expansion,337.0,1067165.0,562.1620720684017,69.7537652002742,1030.0,1716.0,True,True,True,"3500, 7000, corpus"
告,gào,gao,G,(bound form) to say; to tell; to announce; to report; to denounce; to file a lawsuit; to sue,传告 (chuán gào); 公告 (gōng gào); 劝告 (quàn gào),Actions,Top 600,HSK3 Expansion,341.0,1054831.0,555.6647572230951,69.97728341924757,505.0,701.0,True,True,True,"3500, 7000, corpus"
落,luò,luo,L,to leave out; to be missing; to leave behind or forget to bring; to lag or fall behind,下落 (xià luò); 低落 (dī luò); 冷落 (lěng luò),Actions,Top 600,HSK3 Expansion,342.0,1054311.0,555.3908311877814,70.03282250236634,2705.0,5020.0,True,True,True,"3500, 7000, corpus"
象,xiàng,xiang,X,elephant; CL:隻|只[zhi1]; shape; form; appearance; to imitate,万象 (wàn xiàng); 乱象 (luàn xiàng); 假象 (jiǎ xiàng),Actions,Top 600,HSK3 Expansion,343.0,1041105.0,548.4341634524872,70.0876659187116,2955.0,5595.0,True,True,True,"3500, 7000, corpus"
怪,guài,guai,G,bewildering; odd; strange; uncanny; devil; monster; to wonder at; to blame; quite; rather,丑怪 (chǒu guài); 休怪 (xiū guài); 作怪 (zuò guài),Actions,Top 600,HSK3 Expansion,345.0,1036985.0,546.263826403463,70.19698890387788,1079.0,1804.0,True,True,True,"3500, 7000, corpus"
言,yán,yan,Y,words; speech; to say; to talk,一言 (yī yán); 代言 (dài yán); 传言 (chuán yán),Actions,Top 600,HSK3 Expansion,349.0,1026005.0,540.4797728116463,70.41408882513151,2869.0,5434.0,True,True,True,"3500, 7000, corpus"
击,jī,ji,J,to hit; to strike; to break; Taiwan pr. [ji2],伏击 (fú jī); 冲击 (chōng jī); 出击 (chū jī),Actions,Top 600,HSK3 Expansion,354.0,1010628.0,532.3794638789171,70.68090937712346,296.0,426.0,True,True,True,"3500, 7000, corpus"
数,shù,shu,S,to count; to count as; to regard as; to enumerate; to list,个数 (gè shù); 为数 (wéi shù); 乘数 (chéng shù),Actions,Top 600,HSK3 Expansion,357.0,994719.0,523.9989075408288,70.83875393448655,1398.0,2305.0,True,True,True,"3500, 7000, corpus"
伤,shāng,shang,S,to injure; injury; wound,中伤 (zhòng shāng); 伤亡 (shāng wáng); 伤人 (shāng rén),Actions,Top 600,HSK3 Expansion,368.0,968363.0,510.1150717971201,71.40521559174768,130.0,163.0,True,True,True,"3500, 7000, corpus"
拿,ná,na,N,to hold; to seize; to catch; to apprehend; to take; (used in the same way as 把[ba3]: to mark the following noun as a direct object),哈拿 (hā ná); 大拿 (dà ná); 手拿 (shǒu ná),Actions,Top 600,HSK3 Expansion,370.0,958908.0,505.1343589819446,71.50642910199467,1259.0,2090.0,True,True,True,"3500, 7000, corpus"
化,huà,hua,H,to make into; to change into; -ization; to ... -ize; to transform; abbr. for 化學|化学[hua4 xue2],丑化 (chǒu huà); 乳化 (rǔ huà); 优化 (yōu huà),Actions,Top 600,HSK3 Expansion,374.0,951401.0,501.17981523752127,71.70763962750145,373.0,538.0,True,True,True,"3500, 7000, corpus"
绝,jué,jue,J,to cut short; extinct; to disappear; to vanish; absolutely; by no means,不绝 (bù jué); 做绝 (zuò jué); 决绝 (jué jué),Actions,Top 600,HSK3 Expansion,376.0,943340.0,496.93343490932153,71.80714657854843,2418.0,4394.0,True,True,True,"3500, 7000, corpus"
系,xì,xi,X,to connect; to relate to; to tie up; to bind; to be (literary),世系 (shì xì); 体系 (tǐ xì); 佛系 (fó xì),Actions,Top 600,HSK3 Expansion,377.0,942245.0,496.35660989265125,71.8567822395377,2373.0,4320.0,True,True,True,"3500, 7000, corpus"
血,xuè,xue,X,see 血[xue4],一血 (yī xuè); 供血 (gōng xuè); 便血 (biàn xiě),Actions,Top 600,HSK3 Expansion,383.0,933230.0,491.60768064581816,72.15309329974491,2814.0,5312.0,True,True,True,"3500, 7000, corpus"
字,zì,zi,Z,letter; symbol; character; word; CL:個|个[ge4]; courtesy or style name traditionally given to males aged 20 in dynastic China,名字 (míng zì); 汉字 (hàn zì); 文字 (wén zì),Actions,Top 600,HSK3 Expansion,395.0,906615.0,477.58740866528984,72.73487621962008,799.0,1331.0,True,True,True,"3500, 7000, corpus"
切,qiè,qie,Q,to cut; to slice; to carve; (math) tangential,一切 (yī qiè); 亲切 (qīn qiè); 余切 (yú qiē),Actions,Top 600,HSK3 Expansion,399.0,900592.0,474.4146076831849,72.92501533959454,303.0,434.0,True,True,True,"3500, 7000, corpus"
忙,máng,mang,M,busy; hurriedly; to hurry; to rush,不忙 (bù máng); 农忙 (nóng máng); 匆忙 (cōng máng),Actions,Top 600,HSK3 Expansion,401.0,899024.0,473.5886153305466,73.01978979695681,1058.0,1761.0,True,True,True,"3500, 7000, corpus"
