character,pinyin,pinyin_plain,pinyin_initial,definition_en,example_words,lookup_category,frequency_tier,learning_band,frequency_rank,token,frequency_per_million,coverage_rate_pct,rank_3500,rank_7000,in_3500,in_7000,in_corpus,source
没,méi,mei,M,(negative prefix for verbs) have not; not,从没 (cóng méi); 出没 (chū mò); 吞没 (tūn mò),Question & Function,Top 100,Zero Beginner,35.0,7560391.0,3982.669100099137,30.200037279226276,1727.0,2916.0,True,True,True,"3500, 7000, corpus"
然,rán,ran,R,correct; right; so; thus; like this; -ly,不然 (bù rán); 了然 (liǎo rán); 井然 (jǐng rán),General Reference,Top 100,Zero Beginner,36.0,7339938.0,3866.5386842087214,30.586691147647148,1932.0,3343.0,True,True,True,"3500, 7000, corpus"
里,lǐ,li,L,lining; interior; inside; internal; also written 裏|里[li3],万里 (wàn lǐ); 公里 (gōng lǐ); 内里 (nèi lǐ),Places & Movement,Top 100,Zero Beginner,37.0,7329328.0,3860.949539526647,30.972786101599812,3192.0,6096.0,True,True,True,"3500, 7000, corpus"
为,wèi,wei,W,as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice),为上 (wèi shàng); 为主 (wéi zhǔ); 为了 (wèi le),Question & Function,Top 100,Zero Beginner,38.0,7309300.0,3850.3991729203717,31.35782601889185,33.0,36.0,True,True,True,"3500, 7000, corpus"
过,guò,guo,G,surname Guo,不过 (bù guò); 借过 (jiè guò); 划过 (huá guò),General Reference,Top 100,Zero Beginner,39.0,7307184.0,3849.28450466898,31.742754469358747,3101.0,5873.0,True,True,True,"3500, 7000, corpus"
自,zì,zi,Z,(bound form) self; oneself; from; since; naturally; as a matter of course,亲自 (qīn zì); 兀自 (wù zì); 出自 (chū zì),Numbers & Measures,Top 100,Zero Beginner,40.0,7261699.0,3825.323878291586,32.12528685718791,2592.0,4750.0,True,True,True,"3500, 7000, corpus"
好,hǎo,hao,H,good; appropriate; proper; all right!; (before a verb) easy to; (before a verb) good to; (before an adjective for exclamatory effect) so; (verb complement indicating completion); (of two people) close; on intimate terms; (after a personal pronoun) hello,上好 (shàng hǎo); 不好 (bù hǎo); 也好 (yě hǎo),People & Pronouns,Top 100,Zero Beginner,41.0,7259684.0,3824.262414904745,32.50771309867839,744.0,1202.0,True,True,True,"3500, 7000, corpus"
得,dé,de,D,to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished,不得 (bù dé); 乍得 (zhà dé); 习得 (xí dé),Actions,Top 100,Zero Beginner,42.0,7186260.0,3785.584058718448,32.88627150455023,1043.0,1735.0,True,True,True,"3500, 7000, corpus"
去,qù,qu,Q,to go; to go to (a place); (of a time etc) last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die (euphemism); to play (a part); (when used either before or after a verb) to go in order to do sth; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation),出去 (chū qù); 回去 (huí qù); 去年 (qù nián),Places & Movement,Top 100,Zero Beginner,43.0,7182400.0,3783.550684687081,33.26462657301894,427.0,612.0,True,True,True,"3500, 7000, corpus"
可,kě,ke,K,(prefix) can; may; able to; -able; to approve; to permit; to suit; (particle used for emphasis) certainly; very; but; however,不可 (bù kě); 即可 (jí kě); 可亲 (kě qīn),Question & Function,Top 100,Zero Beginner,44.0,7069176.0,3723.9064511825404,33.63701721813719,455.0,643.0,True,True,True,"3500, 7000, corpus"
会,huì,hui,H,can; to have the skill; to know how to; to be likely to; to be sure to; to meet; to get together; meeting; gathering; (suffix) union; group; association; (bound form) a moment (Taiwan pr. [hui3]),会议 (huì yì); 开会 (kāi huì); 会说 (huì shuō),Business & Work,Top 100,Zero Beginner,45.0,6824927.0,3595.240758491499,33.99654129398634,126.0,157.0,True,True,True,"3500, 7000, corpus"
天,tiān,tian,T,day; sky; heaven,今天 (jīn tiān); 明天 (míng tiān); 天气 (tiān qì),Time,Top 100,Zero Beginner,46.0,6797499.0,3580.7922136903744,34.35462051535538,713.0,1163.0,True,True,True,"3500, 7000, corpus"
还,hái,hai,H,surname Huan,交还 (jiāo huán); 偿还 (cháng huán); 回还 (huí huán),General Reference,Top 100,Zero Beginner,47.0,6776145.0,3569.543335694049,34.71157484892478,3107.0,5881.0,True,True,True,"3500, 7000, corpus"
心,xīn,xin,X,"heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]",一心 (yī xīn); 上心 (shàng xīn); 专心 (zhuān xīn),Actions,Top 100,Zero Beginner,48.0,6555833.0,3453.48719590167,35.056923568514954,1051.0,1748.0,True,True,True,"3500, 7000, corpus"
后,hòu,hou,H,surname Hou,之后 (zhī hòu); 事后 (shì hòu); 产后 (chǎn hòu),Time,Top 100,Zero Beginner,49.0,6544446.0,3447.488742509137,35.401672442765864,474.0,665.0,True,True,True,"3500, 7000, corpus"
以,yǐ,yi,Y,abbr. for Israel 以色列[Yi3 se4 lie4],乘以 (chéng yǐ); 予以 (yǔ yǐ); 以上 (yǐ shàng),General Reference,Top 100,Zero Beginner,50.0,6523162.0,3436.2767391714115,35.745300116683005,107.0,131.0,True,True,True,"3500, 7000, corpus"
小,xiǎo,xiao,X,small; tiny; few; young,三小 (sān xiǎo); 从小 (cóng xiǎo); 做小 (zuò xiǎo),General Reference,Top 100,Zero Beginner,51.0,6383822.0,3362.8750973240767,36.08158762641541,868.0,1422.0,True,True,True,"3500, 7000, corpus"
都,dōu,dou,D,surname Du,上都 (shàng dōu); 中都 (zhōng dū); 京都 (jīng dū),Question & Function,Top 100,Zero Beginner,52.0,6342930.0,3341.3339753316754,36.41572102394858,3170.0,6021.0,True,True,True,"3500, 7000, corpus"
和,hé,he,H,surname He,不和 (bù hé); 中和 (zhōng hé); 乞和 (qǐ hé),Question & Function,Top 100,Zero Beginner,53.0,6252031.0,3293.450124016325,36.74506603635021,519.0,732.0,True,True,True,"3500, 7000, corpus"
对,duì,dui,D,right; correct; towards; at; for; concerning; regarding; to treat (sb a certain way); to face; (bound form) opposite; facing; matching; to match together; to adjust; to fit; to suit; to answer; to reply; to add; to pour in (a fluid); to check; to compare; classifier: couple; pair,一对 (yī duì); 不对 (bú duì); 作对 (zuò duì),Actions,Top 100,Zero Beginner,54.0,6195038.0,3263.427303765104,37.07140876672672,858.0,1412.0,True,True,True,"3500, 7000, corpus"
想,xiǎng,xiang,X,to think (about); to think of; to devise; to think (that); to believe (that); to desire; to want (to); to miss (feel wistful about the absence of),不想 (bù xiǎng); 休想 (xiū xiǎng); 假想 (jiǎ xiǎng),Actions,Top 100,Zero Beginner,55.0,6140550.0,3234.724069510923,37.39488117367781,1128.0,1893.0,True,True,True,"3500, 7000, corpus"
能,néng,neng,N,surname Neng,万能 (wàn néng); 不能 (bù néng); 低能 (dī néng),Actions,Top 100,Zero Beginner,56.0,5933639.0,3125.727319717081,37.707453905649515,2550.0,4669.0,True,True,True,"3500, 7000, corpus"
起,qǐ,qi,Q,"to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; starting from (a time, place, price etc); classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group",一起 (yì qǐ); 举起 (jǔ qǐ); 兴起 (xīng qǐ),Business & Work,Top 100,Zero Beginner,57.0,5819918.0,3065.8212761364816,38.01403603326316,3016.0,5688.0,True,True,True,"3500, 7000, corpus"
之,zhī,zhi,Z,"(possessive particle, literary equivalent of 的[de5]); him; her; it",久之 (jiǔ zhī); 之一 (zhī yī); 之上 (zhī shàng),Question & Function,Top 100,Zero Beginner,58.0,5373763.0,2830.795371741493,38.297115570437306,41.0,45.0,True,True,True,"3500, 7000, corpus"
手,shǒu,shou,S,"hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill; CL:雙|双[shuang1],隻|只[zhi1]",一手 (yī shǒu); 上手 (shàng shǒu); 下手 (xià shǒu),Business & Work,Top 100,Zero Beginner,59.0,5076179.0,2674.0338231014953,38.564518952747456,1176.0,1988.0,True,True,True,"3500, 7000, corpus"
而,ér,er,E,and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast),从而 (cóng ér); 俄而 (é ér); 假而 (jiǎ ér),Question & Function,Top 100,Zero Beginner,60.0,5075337.0,2673.590273636622,38.831877980111116,2488.0,4553.0,True,True,True,"3500, 7000, corpus"
只,zhǐ,zhi,Z,only; merely; just,不只 (bù zhǐ); 只好 (zhǐ hǎo); 只当 (zhǐ dāng),Numbers & Measures,Top 100,Zero Beginner,61.0,5050153.0,2660.3238250340432,39.09791036261452,450.0,638.0,True,True,True,"3500, 7000, corpus"
生,shēng,sheng,S,to grow; to give birth; to produce; to be born; to arise; to occur; to light (a fire); to live; to be alive; life; raw; uncooked; unprocessed; unfamiliar; strange; (bound form) student; person engaged in a field; (bound form) male role in traditional opera; (bound form) life; lifetime; (bound form) means of livelihood; (bound form) very; intensely (as in 生疼[sheng1 teng2]); (bound form) in a forced manner (as in 生拉硬拽[sheng1 la1 ying4 zhuai4]),一生 (yī shēng); 丛生 (cóng shēng); 丧生 (sàng shēng),People & Pronouns,Top 100,Zero Beginner,62.0,4966773.0,2616.400838833162,39.359550446497835,2048.0,3643.0,True,True,True,"3500, 7000, corpus"
什,shén,shen,S,what,什么 (shén me); 什叶 (shén yè); 什器 (shén qì),General Reference,Top 100,Zero Beginner,63.0,4828364.0,2543.4896299452066,39.613899409492355,89.0,105.0,True,True,True,"3500, 7000, corpus"
身,shēn,shen,S,"body; life; oneself; personally; one's morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit, twinset; Kangxi radical 158",一身 (yī shēn); 上身 (shàng shēn); 下身 (xià shēn),People & Pronouns,Top 100,Zero Beginner,64.0,4819905.0,2539.033590843824,39.86780276857674,3056.0,5798.0,True,True,True,"3500, 7000, corpus"
头,tóu,tou,T,head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock; CL:個|个[ge4],一头 (yī tóu); 上头 (shàng tou); 下头 (xià tou),Numbers & Measures,Top 100,Zero Beginner,65.0,4813712.0,2535.771237119405,40.12137989228868,720.0,1171.0,True,True,True,"3500, 7000, corpus"
样,yàng,yang,Y,"manner; pattern; way; appearance; shape; classifier: kind, type",一样 (yī yàng); 两样 (liǎng yàng); 像样 (xiàng yàng),Numbers & Measures,Top 100,Zero Beginner,66.0,4769842.0,2512.6613617939956,40.37264602846808,1569.0,2586.0,True,True,True,"3500, 7000, corpus"
事,shì,shi,S,"matter; thing; item; work; affair; CL:件[jian4],樁|桩[zhuang1],回[hui2]",七事 (qī shì); 万事 (wàn shì); 丑事 (chǒu shì),Business & Work,Top 100,Zero Beginner,67.0,4729336.0,2491.3235772047306,40.62177838618855,66.0,72.0,True,True,True,"3500, 7000, corpus"
多,duō,duo,D,many; much; more; a lot of; too many; in excess; (after a numeral) ... odd; how (to what extent) (Taiwan pr. [duo2]); (bound form) multi-; poly-,众多 (zhòng duō); 几多 (jǐ duō); 基多 (jī duō),Actions,Top 100,Zero Beginner,68.0,4617194.0,2432.249320565978,40.86500331824515,709.0,1157.0,True,True,True,"3500, 7000, corpus"
己,jǐ,ji,J,"self; oneself; sixth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; sixth in order; letter ""F"" or Roman ""VI"" in list ""A, B, C"", or ""I, II, III"" etc; hexa",一己 (yī jǐ); 体己 (tī jǐ); 克己 (kè jǐ),Numbers & Measures,Top 100,Zero Beginner,69.0,4569251.0,2406.99386689089,41.10570270493424,937.0,1566.0,True,True,True,"3500, 7000, corpus"
家,jiā,jia,J,used in 傢伙|家伙[jia1 huo5] and 傢俱|家俱[jia1 ju4],一家 (yī jiā); 上家 (shàng jiā); 下家 (xià jiā),Places & Movement,Top 100,Zero Beginner,70.0,4546765.0,2395.14867298692,41.34521757223293,839.0,1387.0,True,True,True,"3500, 7000, corpus"
面,miàn,mian,M,"face; side; surface; aspect; top; classifier for objects with flat surfaces such as drums, mirrors, flags etc",一面 (yí miàn); 上面 (shàng miàn); 下面 (xià miàn),Numbers & Measures,Top 100,Zero Beginner,71.0,4532962.0,2387.877517091852,41.584005323942115,3354.0,6500.0,True,True,True,"3500, 7000, corpus"
知,zhī,zhi,Z,to know; to be aware,不知 (bù zhī); 了知 (le zhī); 先知 (xiān zhī),Actions,Top 100,Zero Beginner,72.0,4397165.0,2316.3422597505105,41.815639549917165,2172.0,3908.0,True,True,True,"3500, 7000, corpus"
开,kāi,kai,K,"to open (transitive or intransitive); (of ships, vehicles, troops etc) to start; to turn on; to put in operation; to operate; to run; to boil; to write out (a prescription, check, invoice etc); (directional complement) away; off; carat (gold); abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2]; abbr. for 開本|开本[kai1 ben3], book format",丢开 (diū kāi); 传开 (chuán kāi); 伸开 (shēn kāi),Actions,Top 100,Zero Beginner,73.0,4346834.0,2289.828853436328,42.0446224352608,1002.0,1671.0,True,True,True,"3500, 7000, corpus"
如,rú,ru,R,as; as if; such as,一如 (yī rú); 不如 (bù rú); 仿如 (fǎng rú),General Reference,Top 100,Zero Beginner,74.0,4308194.0,2269.4740418891697,42.27156983944972,745.0,1204.0,True,True,True,"3500, 7000, corpus"
无,wú,wu,W,used in 南無|南无[na1 mo2],三无 (sān wú); 不无 (bù wú); 了无 (liǎo wú),General Reference,Top 100,Zero Beginner,75.0,4177289.0,2200.515796403126,42.49162141909003,1423.0,2345.0,True,True,True,"3500, 7000, corpus"
现,xiàn,xian,X,to appear; present; now; existing; current,乍现 (zhà xiàn); 付现 (fù xiàn); 体现 (tǐ xiàn),Time,Top 100,Zero Beginner,76.0,4161139.0,2192.0082858832857,42.71082224767836,2015.0,3532.0,True,True,True,"3500, 7000, corpus"
很,hěn,hen,H,"very; quite; (also, often used before an adjective without intensifying its meaning, i.e. as a meaningless syntactic element)",不很 (bù hěn); 很是 (hěn shì); 得很 (dé hěn),Question & Function,Top 100,Zero Beginner,77.0,3994436.0,2104.1923399892407,42.921241481677285,1038.0,1728.0,True,True,True,"3500, 7000, corpus"
点,diǎn,dian,D,"to touch briefly; to tap; to mark with a dot; to check off (on a list); to order (food etc); to select; to mention; to bring up (a topic or person); to hint at; to imply; to administer (eye medicine etc) in drops; to light (a fire, a lamp etc); to ignite; to nod (one's head) in agreement; to beckon by moving (one's hand) up and down; point; dot; spot; speck; dot stroke in Chinese characters; (math.) decimal point; point in time or space; (after a number) o'clock; a small amount; a bit; (after a verb or adjective) a bit more; classifier for small amounts",丁点 (dīng diǎn); 中点 (zhōng diǎn); 交点 (jiāo diǎn),People & Pronouns,Top 100,Zero Beginner,78.0,3978856.0,2095.985094546572,43.13083999113194,1911.0,3299.0,True,True,True,"3500, 7000, corpus"
前,qián,qian,Q,front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly,上前 (shàng qián); 之前 (zhī qián); 事前 (shì qián),Time,Top 100,Zero Beginner,79.0,3967855.0,2090.1899785571754,43.33985898898766,330.0,472.0,True,True,True,"3500, 7000, corpus"
发,fā,fa,F,to send out; to show (one's feeling); to issue; to develop; to make a bundle of money; classifier for gunshots (rounds),下发 (xià fā); 举发 (jǔ fā); 传发 (chuán fā),Business & Work,Top 100,Zero Beginner,80.0,3946829.0,2079.1138846754325,43.5477703774552,437.0,623.0,True,True,True,"3500, 7000, corpus"
经,jīng,jing,J,surname Jing,一经 (yī jīng); 业经 (yè jīng); 东经 (dōng jīng),Business & Work,Top 100,Zero Beginner,81.0,3923454.0,2066.800382607243,43.75445041571592,2410.0,4382.0,True,True,True,"3500, 7000, corpus"
